name_folder,name,class_predict,date_registration,bbox,registrations_id,registration_class,count,max_count,flag,link
1,Im_0011814.jpg,Bear,2020-07-22 07:02:52,1336 365 2048 1186,registration 000001 2.0,Bear,1.0,2.0,0 days 00:27:35,1/IMG_0004.JPG
1,Im_0011850.jpg,Bear,2020-07-22 07:02:55,717 322 1949 1293,registration 000001 2.0,Bear,1.0,2.0,0 days 00:27:35,1/IMG_0005.JPG
1,Im_0011785.jpg,Bear,2020-07-22 07:02:58,724 264 1950 1293,registration 000001 2.0,Bear,1.0,2.0,0 days 00:27:35,1/IMG_0006.JPG
1,Im_0011864.jpg,Bear,2020-07-22 07:29:05,560 338 1496 1428,registration 000001 2.0,Bear,2.0,2.0,0 days 00:27:35,1/IMG_0013.JPG
1,Im_0011870.jpg,Bear,2020-07-22 07:29:08,598 400 1504 1426,registration 000001 2.0,Bear,1.0,2.0,0 days 00:27:35,1/IMG_0014.JPG
1,Im_0011840.jpg,Bear,2020-07-22 07:29:11,681 416 1516 1425,registration 000001 2.0,Bear,2.0,2.0,0 days 00:27:35,1/IMG_0015.JPG
1,Im_0011827.jpg,Bear,2020-07-22 07:29:42,730 129 1341 1184,registration 000001 2.0,Bear,1.0,2.0,0 days 00:27:35,1/IMG_0016.JPG
1,Im_0011782.jpg,Bear,2020-07-22 07:29:45,730 174 1386 1172,registration 000001 2.0,Bear,1.0,2.0,0 days 00:27:35,1/IMG_0017.JPG
1,Im_0011813.jpg,Bear,2020-07-22 07:29:48,726 113 1300 1169,registration 000001 2.0,Bear,1.0,2.0,0 days 00:27:35,1/IMG_0018.JPG
1,Im_0011853.jpg,Bear,2020-07-22 07:30:21,701 381 1317 1168,registration 000001 2.0,Bear,1.0,2.0,0 days 00:27:35,1/IMG_0019.JPG
1,Im_0011865.jpg,Bear,2020-07-22 07:30:24,0 562 601 1498,registration 000001 2.0,Bear,2.0,2.0,0 days 00:27:35,1/IMG_0020.JPG
1,Im_0011860.jpg,Bear,2020-07-22 07:30:27,2 538 685 1492,registration 000001 2.0,Bear,2.0,2.0,0 days 00:27:35,1/IMG_0021.JPG
1,Im_0011848.jpg,Bear,2020-07-22 17:31:06,930 397 2013 1122,registration 000002 1.0,Bear,1.0,1.0,0 days 00:00:06,1/IMG_0034.JPG
1,Im_0011790.jpg,Bear,2020-07-22 17:31:09,742 288 1885 1290,registration 000002 1.0,Bear,1.0,1.0,0 days 00:00:06,1/IMG_0035.JPG
1,Im_0011786.jpg,Bear,2020-07-22 17:31:12,778 285 1912 1297,registration 000002 1.0,Bear,1.0,1.0,0 days 00:00:06,1/IMG_0036.JPG
1,Im_0011833.jpg,Bear,2020-07-23 08:38:26,1477 516 2048 1409,registration 000003 1.0,Bear,1.0,1.0,0 days 00:26:34,1/IMG_0046.JPG
1,Im_0011808.jpg,Bear,2020-07-23 08:38:29,1650 437 2048 1317,registration 000003 1.0,Bear,1.0,1.0,0 days 00:26:34,1/IMG_0047.JPG
1,Im_0011816.jpg,Bear,2020-07-23 08:38:32,1581 378 2048 1225,registration 000003 1.0,Bear,1.0,1.0,0 days 00:26:34,1/IMG_0048.JPG
1,Im_0011838.jpg,Bear,2020-07-23 08:39:07,860 418 2044 1186,registration 000003 1.0,Bear,1.0,1.0,0 days 00:26:34,1/IMG_0049.JPG
1,Im_0011795.jpg,Bear,2020-07-23 08:39:10,760 450 2045 1501,registration 000003 1.0,Bear,1.0,1.0,0 days 00:26:34,1/IMG_0050.JPG
1,Im_0011805.jpg,Bear,2020-07-23 08:39:13,0 604 1464 1500,registration 000003 1.0,Bear,1.0,1.0,0 days 00:26:34,1/IMG_0051.JPG
1,Im_0011857.jpg,Bear,2020-07-23 09:04:18,1 784 413 1378,registration 000003 1.0,Bear,1.0,1.0,0 days 00:26:34,1/IMG_0052.JPG
